Vnum	LocalizedName
751	متعصب أعلى
752	أراهان أعلى
753	مقاتل أراهان أعلى
754	قائد أراهان الأعلى
755	عدّام أعلى
756	مضطهد أعلى
757	مشعوذ أعلى
771	متعصب وحشي
772	أراهان وحشي
773	مقاتل أراهان وحشي
774	أراهان أعلى وحشي
775	جلاّد وحشي
776	مضطهد وحشي
777	مشعوذ وحشي
791	القائد الشرير
792	قائد الشبح الشرير
793	قائد النخبة الشرير
794	قائد شبح النخبة
795	مقاتل النخبة
796	مقاتل النخبة الشرير
901	شبح الجثة
902	كلب مسعور
903	رجل مسعور
904	محارب السيّف المسعور
905	محارب الرماح المسعور
906	رامي سهام مسعور
907	قائد المسعورين
931	شبح جثّة غاضب
932	كلب مسعور غاضب
933	رجل مسعور غاضب
934	محارب مسعور غاضب
935	محارب رماح مسعور غاضب
936	رامي سهام مسعور متوحش
937	قائد مسعورين غاضب
991	بيضة داء السعار
992	حامل داء السعار
993	حامل عملاق لداء السعار
1001	جندي شيطاني
1002	رامي السهام الشيطاني
1003	رامي الرماح الشيطاني
1004	شامان شيطاني
1031	جندي خسيس
1032	رامي سهام خسيس
1033	جندي خسيس بحربة قاتلة
1034	شامان خسيس
1035	شبح الحقد
1036	شبح الفوضى
1037	قائد الشياطين الخسيسة
1038	شبح المسايفة الأزلي
1039	جمجمة طائرة
1040	الشبح الخالد
1041	وحش شيطاني
1061	جندي شيطاني وحشي
1062	رامي شيطاني وحشي
1063	الرماح الشيطاني الوحشي
1064	شامان الشبح الخسيس
1065	شبح الحقد الخسيس
1066	شبح الفوضى الخسيس
1067	قائد الشياطين الوحشي
1068	شبح المسايفة البارع
1069	رأس الهيكل الطائر الخبيث
1070	الشبح الخالد
1071	وحش شيطاني
1091	ملك الشياطين
1092	ملك الشياطين الفخور
1093	قابض الأرواح
1094	ملك الشياطين الخسيس
1095	الموت الأزرق
1096	ءّ»ç±ح؟ص
1101	جليد مسحور
1102	الحوت االجليدي القاتل
1103	حشرات الجليد
1104	أسد الجليد
1105	رجل الثلج
1106	يتي
1107	تمثال الجليد
1131	شظى الجليد من الجحيم
1132	حوت الجليد من الجحيم
1133	حشرة الجليد من الجحيم
1134	أسد الجليد من الجحيم
1135	رجل الجليد من الجحيم
1136	الرجل الثلجي من الجحيم
1137	تمثال الجليد من الجحيم
1151	شيطان الجليد
1152	حوت جليدي قاتل
1153	حشرة الجليد
1154	سول غو
1155	رجل الجليد
1156	عملاق الجليد
1157	تمثال الجليد
1171	الجليد الخبيث المسحور
1172	حوت جليدي قاتل خبيث
1173	حشرة الجليد الخبيثة
1174	أسد الجليد الخبيث
1175	رجل الجليد الخبيث
1176	يتي الخبيث
1177	تمثال الجليد الخبيث
1191	ساحرة  الجليد
1192	ساحرة جليد كبيرة
1301	جندي ضفدع الشجرة
1302	قائد ضفدع الشجرة
1303	بعبع
1304	شبح النمر الأصفر
1305	جنرال ضفدع الثور
1306	شبح نمر أصفر خبيث
1307	شبح نمر أصفر خبيث
1308	شبح نمر أصفر خبيث
1309	شبح نمر أصفر خبيث
1310	شبح نمر أصفر خبيث
1331	جندي ضفدع الشجرة الكبير
1332	قائد ضفدع الشجرة الكبير
1333	بعبع كبير
1334	شبح النمر الأصفر الكبير
1335	جنرال ضفدع الثور الكبير
1401	مدمر
1402	محارب فأس
1403	ألف محارب
1501	تمثال حجر
1502	آكل الحجر
1503	تمثال حجري كبير
1601	محارب رهيب
1602	جزار رهيب
1603	مقاتل رهيب
1901	ذو التسعة ذيول
1902	ذو التسعة ذيول النخبة
1903	ذو التسعة ذيول النخبة
1904	ذو التسعة ذيول النخبة
1905	ذو التسعة ذيول النخبة
1906	ذو التسعة ذيول النخبة
2001	عنكبوت رضيع
2002	عنكبوت سام
2003	عنكبوت أحمر سام
2004	عنكبوت ذو مخالب
2005	جندي عنكبوت
2031	عنكبوت رضيع سام
2032	عنكبوت سام قاتل
2033	عنكبوت أحمر سام قاتل
2034	عنكبوت سام ذو مخالب
2035	جندي سام عنكبوتي
2036	جندي عنكبوت سام فخور
2051	عنكبوت رضيع سام خبيث
2052	عنكبوت سام قاتل خبيث
2053	عنكبوت سام أحمر خبيث
2054	عنكبوت سام ذو مخالب خبيث
2055	جندي عنكبوت سام خبيث
2061	عنكبوت سام صغير
2062	عنكبوت سام قاتل
2063	عنكبوت سام قاتل أحمر
2064	عنكبوت سام ذو مخالب
2065	جنود العناكب السامة
2071	عنكبوت رضيع سام وحشي
2072	عنكبوت سام قاتل وحشي
2073	عنكبوت أحمر سام قاتل
2074	عنكبوت سام ذو مخلب وحشي
2075	جندي عنكبوت وحشي
2076	عنكبوت سام وحشي قوي
2091	الملكة العنكبوت
2092	بارونة العناكب
2093	العنكبوتة الملكة الشريرة
2094	بارون العناكب
2095	بيضة العنكبوت
2101	ثعلب الصحراء
2102	عين طائرة صحراوية
2103	العقرب الملك
2104	الرجل العقرب الشاب
2105	رامي سهام عقربي
2106	محارب السيف الثعباني
2107	رامي سهام ثعباني
2108	قاطع طرق صحراوي
2131	الرجل العقرب الوحشي
2132	رامي السهام العقربية
2133	محارب السيف الثعباني
2134	رامي سهام ثعباني
2135	قاطع طرق صحراوي
2151	ثعلب الصحراء القوي
2152	درويش قوي
2153	العقرب الملك القوي
2154	الرجل العقرب القوي
2155	العقرب الرمّاح القوي
2156	محارب أفاعي قوي
2157	رامي سهام ثعباني قوي
2158	قاطع طرق صحراوي قوي
2191	سلحفاة صحراء كبيرة
2192	سلحفاة صحراء ظلامية
2201	نمر خادم مقاتل
2202	شبح النار
2203	نمر مقاتل
2204	نار
2205	محارب ناري
2206	ملك النّار
2207	ملك النّار الشرير
2231	نمر خادم مقاتل قوي
2232	شبح النار القوي
2233	نمر مقاتل قوي
2234	نار قويّة
2235	محارب ناري قوي
2291	تنين أحمر
2301	شجرة أشباح
2302	جذع شجرة أشباح
2303	درياد
2304	مرج الأشباح
2305	شجرة خبيثة
2306	شجرة أشباح قديمة
2307	سيد شجرة الأشباح
2311	شجرة أشباح حمراء
2312	جذع شجرة أشباح حمراء
2313	درياد حمراء
2314	مرج الأشباح الأحمر
2315	شجرة حمراء خبيثة
2401	محارب سيتاو
2402	صيّاد سيتاو
2403	عرّافة سيتاو
2404	قائد سيتاو
2411	جندي سيتاو
2412	رامي السهام-سيتاو
2413	القائدة سيتاو
2414	قائد أعلى-سيتاو
2431	أµہا؛´»ç
2432	أµہا±أ؛´
2433	أµہا¹‎»ç
2434	أµہاہه¼ِ
2451	ءّأµہا؛´»ç
2452	ءّأµہا±أ؛´
2453	ءّأµہا¹‎»ç
2454	ءّأµہاہه¼ِ
2491	الزعيم يونغان
2492	الجنرال يونغان
2493	بيران-سيتاو
2494	الزعيم هواشين
2495	الجنرال هواشين
2501	قنديل بحر الجحيم
2502	كلب الجحيم
2503	زومبي
2504	ضابط الجحيم
2505	حارس الجحيم
2506	قناص الجحيم-ذو الرأسين
2507	قابض الجحيم
2508	محارب الجحيم
2509	قناص الجحيم
2510	رامي رماح الجحيم
2511	كاهن الجحيم
2512	رائد الجحيم
2513	سفّاك الجحيم
2514	جنرال الجحيم
2541	محارب الجحيم الشرير
2542	قناص الجحيم الشرير
2543	رامي رماح الجحيم الشرير
2544	كاهن الجحيم الشرير
2545	رائد الجحيم الشرير
2546	سفّاك الجحيم الشرير
2547	جنرال الجحيم الشرير
2591	تارثاروس
2592	وقح الجحيم
2593	وقح الجحيم
2594	وقح الجحيم
2595	إيريبوس
2596	فرخ فرعائيل
2597	شريون
2598	فرعائيل
3001	مقاتل الغنيز
3002	رامي الغنيز
3003	مدافع الغنيز
3004	ساحر الغنيز
3005	جنرال الغنيز
3090	لورد الغنيز
3091	حارس الغنيز السامي
3101	ضارب أعور
3102	جندي السيكلوبن
3103	ساحر السيكلوبن
3104	جلاّد السيكلوبن
3105	الجنرال أوتيس
3190	أرجيس
3191	بّوليفيموس
3201	محارب المنتيقور
3202	جندي المنتيقور
3203	ساحر المنتيقور
3204	جلاد المنتيقور
3205	الحنرال قور
3290	راكشاسا
3291	مارتياكسوار
3301	مقاتل الليمورن
3302	جندي الليمورن
3303	ساحر الليمورن
3304	جلاد الليمورن
3305	جنرال الليمورن
3390	أمير الليمورن
3391	الحرس الشخصي الليموري
3401	موراي تريتونية
3402	الجندي القرش
3403	ساحر تريتوني
3404	صياد تريتوني
3405	سيّاف تيتروني
3490	الجنرال كابّا
3491	تريتون
3501	محاربة اللص الأحمر
3502	سفاح اللص الأحمر
3503	ساحر اللص الأحمر
3504	جلاد اللص الأحمر
3505	الجنرال الأسود
3551	محاربة لص أحمر دموية
3552	سفاح لص أحمر دموي
3553	ساحر لص أحمر دموي
3554	جلاد لص أحمر دموي
3555	الجنرال الأبيض
3590	وجه عظمي
3591	الزعيم الأحمر
3595	وجه عظمي دموي
3596	زعيم أحمر دموي
3601	محارب السلطعون
3602	الرامي العقرب
3603	جندي الرّوبيان
3604	ناسك شيطاني
3605	سلطعون مقوقع
3690	الجنرال كَركَند
3691	ملك السلاطيع
3701	عضّاض عملاق
3702	سفّاح عملاق
3703	ساحر عملاق
3704	عملاقيان
3705	الكابتن خُطاف
3790	غرغاميل
3791	الملك ووبّا
3801	غوجلاّد
3802	غول رامي
3803	غول مُعارك
3804	غول ساحر رهيب
3805	الجنرال غولان
3890	الكابتن شروك
3891	الغول الكبير
3901	الرجل الصفصاف
3902	المارد
3903	سكومان
3904	الكابتن خُطاف
3905	مو-شو
3906	ياه-كي
3907	موغو
3908	كارنيفكس
3909	الجنرال ألبوس
3910	عظامي
3911	باكومور
3912	شجكامور
3913	شركامور
5001	تاناكا القرصان
5002	ها-تي
5003	قرد
5004	تاناكا القرصان
5101	جندي قرد ضعيف
5102	رامي قرد ضعيف
5103	محارب قرد ضعيف
5104	جنرال  قرد ضعيف
5111	جندي قرد
5112	رامي قرد
5113	محارب قرد
5114	جنرال  قرد
5115	قرد حجري
5116	قائد قرد
5121	جندي قرد قوي
5122	رامي قرد قوي
5123	مقاتل قرد قوي
5124	جنرال  قرد قوي
5125	قرد حجري قوي
5126	قرد ذهبي قوي
5127	قائد قرد قوي
5131	جندي  قرد صغير ذكي
5132	رامي قرد صغير ذكي
5133	محارب قرد صغير ذكي
5134	جنرال قرد صغير قوي
5141	جندي قرد ذكي
5142	قرد رامي ذكي
5143	قرد محارب ذكي
5144	جنرال قرد ذكي
5145	قرد حجري ذكي
5146	قائد قرد ذكي
5151	جندي قرد شرير
5152	رامي قرد شرير
5153	محارب قرد شرير
5154	جنرال  قرد شرير
5155	قرد حجري شرير
5156	قرد ذهبي شرير
5157	قائد قرد شرير
5161	قرد صخري
5162	قرد بشري
5163	زعيم القردة
6001	شبح جمر اللهب
6002	نمر جمر اللهب
6003	جمر اللهب
6004	محارب جمر اللهب
6005	ملك جمر النّار
6006	نمر جمر اللهب
6007	ابو لحية جمر اللهب
6008	جنرال جمر اللهب
6009	أمير جمر اللهب
6051	نارمر
6091	رازادور
6101	بلّور الصقيع
6102	حشرة الصّقيع
6103	رجل الصّقيع
6104	يتي الصّقيع
6105	غنيز الصّقيع
6106	قزم الصّقيع
6107	لحية الصّقيع
6108	جنرال الصّقيع
6109	أمير الصّقيع
6151	سُزيْل
6191	النمير
7001	جندي قرد
7002	قرد خيال
7003	جندي قرد جيمو
7004	كومندور قرد
7005	قرد حجري
7006	قرد ذهبي
7007	جنرال  قرد
7008	عامل تو غي
7009	ممتحن جنود تو-غي
7010	القائد تو-غوي الأبيض
7012	بي-ما-غي-أن
7013	عقرب ملك
7014	الرجل العقرب الماكر
7015	رامي سهام عقربي
7016	محارب السيف الثعباني
7017	رامي سهام ثعباني
7018	قاطع طرق صحراوي
7019	جندي تو-جي
7020	هوا-ريونغ
7021	المتشرد تو-جي
7022	شام-ما
7023	تيوها-مو
7024	جوك-غوي
7025	دونغ-جك
7026	جوك-مك
7027	هواريو جوك
7028	جوك-غمك أسود
7029	شيطان الجليد
7030	حوت جليدي قاتل
7031	حشرة الجليد
7032	سول غو
7033	رجل الجليد
7034	عملاق الجليد
7035	تمثال الجليد
7036	شيطان الجليد
7037	حوت جليدي قاتل
7038	حشرة الجليد
7039	سول غو
7040	رجل الجليد
7041	عملاق الجليد
7042	تمثال الجليد
7043	شيطان الجليد
7044	حوت جليدي قاتل
7045	حشرة الجليد
7046	سول غو
7047	رجل الجليد
7048	عملاق الجليد
7049	تمثال الجليد
7050	عين طائرة صحراوية
7051	العقرب الملك
7052	الرجل العقرب الشاب
7053	رامي سهام عقربي
7054	محارب السيف الثعباني
7055	رامي سهام ثعباني
7056	قاطع طرق صحراوي
7057	عين طائرة صحراوية
7058	العقرب الملك
7059	الرجل العقرب الشاب
7060	رامي سهام عقربي
7061	محارب السيف الثعباني
7062	رامي سهام ثعباني
7063	قاطع طرق صحراوي
7064	عين طائرة صحراوية
7065	العقرب الملك
7066	رجل عقرب شاب
7067	رامي سهام عقربي
7068	محارب السيف الثعباني
7069	رامي سهام ثعباني
7070	قاطع طرق صحراوي
7071	نمر خادم مقاتل
7072	شبح النار
7073	نمر مقاتل
7074	لهب
7075	محارب ناري
7076	نمر خادم مقاتل
7077	شبح النار
7078	نمر مقاتل
7079	لهب
7080	محارب ناري
7081	نمر خادم مقاتل
7082	شبح النار
7083	نمر مقاتل
7084	لهب
7085	محارب ناري
7086	جذع شجرة أشباح
7087	درياد
7088	مرج الأشباح
7089	شجرة خبيثة
7090	جذع شجرة أشباح
7091	درياد
7092	مرج الأشباح
7093	شجرة خبيثة
7094	جذع شجرة أشباح
7095	درياد
7096	مرج الأشباح
8001	ماتين الأسى
8002	ماتين القتال
8003	ماتين المعركة
8004	ماتين الجشع
8005	ماتين السواد
8006	ماتين الشر
8007	ماتين الغيرة
8008	ماتين الروح
8009	ماتين الظل
8010	ماتين القسوة
8011	ماتين الشّيطان
8012	ماتين السقوط
8013	ماتين الموت
8014	ماتين القتل
8015	ماتين القسوة
8016	ماتين الشيطان
8017	ماتين السقوط
8018	ماتين الموت
8019	ماتين القتل
8020	صخور شينسو
8021	صخور جينّو
8022	صخور شونجو
8023	صخورالأمبراطور
8024	ماتين بونغ-ما
8025	ماتين ما-أن
8026	ماتين تو-يونغ
8027	ماتين جيون-أن
8031	ماتين الجبل
8032	ماتين الثأر
8033	ماتين العزلة
8034	ماتين الغطرسة
8035	ماتين النجاة
8036	ماتين الخيانة
8037	ماتين التنغيص
8038	ماتين الانتقام
8039	ماتين الفخر
8040	ماتين الخبث
8041	Metin-مفاجئات
8042	Metin-مفاجئات
8043	Metin-مفاجئات
8044	Metin-مفاجئات
8045	Metin-مفاجئات
8046	Metin-مفاجئات
8047	Metin-مفاجئات
8048	Metin-مفاجئات
8049	Metin-مفاجئات
8050	Metin-مفاجئات
8051	ماتين الغم
8052	ماتين الجذوة
8053	ماتين الغرور
8054	ماتين الغيظ
8055	ماتين الكارثة
8056	ماتين النحس
8057	ماتين الجحيم
8101	ماتين الأسى
8102	ماتين القتال
8103	ماتين القتال
8104	ماتين الجشع
8105	ماتين السواد
8106	ماتين الشر
8107	ماتين الغيرة
8108	ماتين الروح
8109	ماتين الظل
8110	ماتين القسوة
8111	ماتين الشيطان
8112	ماتين السقوط
8113	ماتين الموت
8114	ماتين الموت
8501	كلب شرس
8502	خنزير بري
8503	دب
8504	نمر أبيض
8505	غول أسود عملاق
8506	قائد ضفدع الشجر
8507	قاطع طرق صحراوي
8508	مضطهد باطني
8509	مشعوذ باطني
8510	محارب ناري
8511	تمثال الجليد
8600	؟ُ±ح´ëء·ہه
8601	؟ُ±ح´ëء·ہه
8602	¹ذ±³´ëءض±³
8603	¹ذ±³´ëءض±³
8604	¸ي»ç±ح؟ص
8605	¸ي»ç±ح؟ص
8606	»ç½إ
8607	»ç½إ
8608	±¸¹جب£
8609	±¸¹جب£
8610	´©··إُ¹ü±ح
8611	´©··إُ¹ü±ح
8612	؟©؟ص°إ¹ج
8613	؟©؟ص°إ¹ج
8614	°إ´ë»ç¸·°إ؛د
8615	°إ´ë»ç¸·°إ؛د
9001	تاجر أسلحة
9002	بائع الدروع
9003	تاجرة البضائع المختلفة
9004	مساعد الأحداث
9005	أمين المستودع
9006	إمرأة عجوز
9007	تاجر أسلحة
9008	بائع الدروع
9009	صيّاد
9010	تاجرة البضائع المختلفة
9011	منسّقة أعراس
9012	الناقل
10001	منطقة_يايانغ 4002 8995
10002	منطقة_يونغان 4503 9050
10003	نطاق_بوكيونغ 1118 2161
10004	منطقة_جوان 876 2131
10005	منطقة_باكرا 9064 2214
10006	منطقة_بيونغمو 9372 2188
10007	منطقة_يونغان 4188 9560
10008	منطقة_يايانغ 3179 8332
10009	منطقة_جوان 897 1127
10010	نطاق_بوكيونغ 1759 2210
10011	منطقة_بيونغمو 9343 3143
10012	منطقة_باكرا 8348 2926
10013	معبد_هوانغ 5536 1441
10014	سونغريونغ 3326 7468
10015	صحراء_يونغبي 3467 6329
10016	كواهلو_دونغ 600 4960
10017	معبد_هوانغ 5906 1102
10018	برج_غومسان 2165 7270
10019	منطقة_يايانغ 3211 9009
10020	جونغرانغ 1356 43
10021	نطاق_بوكيونغ 1168 2920
10022	واريونغ 2219 93
10023	منطقة_باكرا 9098 2948
10024	إمها 2718 130
10025	جبل_سوهان 4993 2984
10026	لنغسام 2887 57
10027	لنغسام 2866 437
10028	الغابة_الحمراء 11199 708
10029	ميدان_الأفاعي 10590 7262
10030	صحراء_يونغبي 3519 6223
10031	ميدان_الأفاعي 10590 7262
10032	أرض_العمالقة 8283 7635
10033	غار_زن 10594 7525
10034	2كهف_زن 10594 7525
10035	دون-_زون 917 5253
10036	2_دون-زون 7041 4642
10037	ہع¾çاِ 3809 8233
10038	½إ¼ِ¼؛ 9752 1330
10039	؛¹ء¤اِ 1917 2900
10040	ءّ³ë¼؛ 9239 1836
10041	¹ع¶َاِ 8316 2154
10042	أµء¶¼؛ 9772 1850
10043	¼­ار»ê 3819 2969
10044	½إ¼ِ¼؛ 10189 1484
10045	¼­ار»ê 3819 2969
10046	½إ¼ِ¼؛ 9774 1501
10047	½آ·و°î 2699 6752
10048	ءّ³ë¼؛ 9679 1994
10049	½آ·و°î 2699 6752
10050	ءّ³ë¼؛ 9256 2012
10051	؟µ؛ٌ»ç¸· 3478 6189
10052	أµء¶¼؛ 9780 1995
10053	؟µ؛ٌ»ç¸· 3478 6189
10054	أµء¶¼؛ 10190 2002
10055	µµ؟°ب­ءِ 6011 6874
10056	¼­ار»ê 4368 2158
10057	½آ·و°î 3355 7558
10058	¹ذ±³»ç؟ّ 5943 1337
10059	¼­ار»ê 0 10496
10060	¹ذ±³»ç؟ّ 1536 10496
10061	أرض_النار 4608 10496
10062	½آ·و°î 6144 10496
10063	±ح¸ٌ¸² 3031 266
10064	ہû±ح¸ٌ¸² 11133 534
10065	½إ±ح¸ٌ¸² 7754 10553
10066	½إہû±ح¸ٌ¸² 9915 11195
10067	برج_قردة_محصن 7752 4477
10068	منطقة_يايانغ 4062 8756
10069	برج_قردة_محصن 8520 4477
10070	نطاق_بوكيونغ 1611 2130
10071	برج_قردة_محصن 9288 4477
10072	منطقة_باكرا 8727 2100
10073	صحراء_يونغبي 3061 6202
10074	برج_قردة_محصن 1352 6532
10075	صحراء_يونغبي 2879 5407
10076	برج_قردة_محصن 1352 7300
10077	كهف_اللعنة 9 12078
10078	½آ·و°î 2842 8106
10079	كهف_اللعنة1 1459 13236
10080	كهف_اللعنة2 2413 12755
10081	أµہاµ؟±¼1أ‏ 99 13618
10082	؟µ¾بہ¾¼؛ 5028 9998
10083	أµہاµ؟±¼1أ‏ 1360 14972
10084	أµہاµ؟±¼2أ‏ 2414 14289
10085	أµہاµ؟±¼1أ‏ 99 15154
10086	ء¶¾بہ¾¼؛ 616 1148
10087	أµہاµ؟±¼1أ‏ 1360 16508
10088	أµہاµ؟±¼2أ‏ 2414 15825
10089	أµہاµ؟±¼1أ‏ 99 16690
10090	ئٍ¹«ہ¾¼؛ 9609 3188
10091	أµہاµ؟±¼1أ‏ 1360 18044
10092	أµہاµ؟±¼2أ‏ 2414 17361
10093	بوابة_التنين 1731 12205
10094	بوابة_التنين 1733 13743
10095	بوابة_التنين 1728 15277
10096	بوابة_التنين 1724 16824
10097	SD2 7040 5235
10098	SD3 984 5711
10099	رأس 11043 17885
10100	رأس 10963 16744
10101	نيفريت 10869 16558
10102	رأس 11664 16779
10103	الرعد 11345 16546
10104	الرعد 11921 16550
10105	غواتاما 12263 16811
10501	. 345 361
10502	. 106 547
10503	. 75 368
10504	. 89 746
10505	. 520 352
10506	. 541 45
10507	. 211 109
10508	. 615 49
10509	. 284 705
10510	. 145 310
10511	. 553 285
10512	. 487 274
10513	. 626 291
10514	. 285 569
10515	. 80 303
10516	. 315 238
10517	. 416 272
10518	. 72 498
10519	. 215 495
10520	. 523 415
10521	. 72 498
10522	. 518 480
10523	. 583 379
10524	. 459 558
10601	. 345 361
10602	. 520 352
10603	. 487 274
10604	. 75 368
10605	. 211 109
10606	. 215 495
10607	. 315 238
10608	. 520 352
10609	. 284 705
10610	. 145 310
10611	. 416 272
10612	. 80 303
10613	. 72 498
10614	. 106 547
10615	. 523 415
10616	. 541 45
10617	. 72 121
10618	. 518 480
10619	. 89 746
10620	. 285 569
10621	. 615 49
10622	. 72 498
10623	. 583 379
10624	. 459 558
10625	. 609 553
10626	. 594 338
10701	. 75 368
10702	. 541 45
10703	. 615 49
10704	. 284 705
10705	. 520 352
10706	. 553 285
10707	. 145 310
10708	. 345 361
10709	. 523 415
10710	. 72 498
10711	. 626 291
10712	. 487 274
10713	. 72 498
10714	. 106 547
10715	. 518 480
10716	. 285 569
10717	. 80 303
10718	. 211 109
10719	. 416 272
10720	. 215 495
10721	. 315 238
10722	. 89 746
10723	. 583 379
10724	. 459 558
10725	. 609 553
10726	. 594 338
10801	. 70 581
10802	. 69 664
10803	. 132 660
10804	. 184 566
10805	. 285 567
10806	. 272 636
10807	. 191 667
10808	. 345 563
10809	. 400 570
10810	. 68 806
10811	. 140 811
10812	. 189 722
10813	. 274 722
10814	.233 780
10815	. 318 780
10816	. 273 833
10817	.356 717
10818	.412 712
10819	. 372 776
10820	. 354 840
10821	. 366 817
10822	. 420 841
10823	. 94 846
10824	. 63 864
10825	. 131 866
10826	. 59 920
10827	. 91 940
10828	. 135 919
10829	. 194 870
10830	. 243 862
10831	. 312 861
10832	. 373 893
10833	. 406 880
10834	. 422 935
10835	. 500 807
11000	حارس ساحة القرية
11001	مدير شؤون الحرب
11002	حارس ساحة القرية
11003	مدير شؤون الحرب
11004	حارس ساحة القرية
11005	مدير شؤون الحرب
11100	حارس ساحة القرية
11101	مدير شؤون الحرب
11102	حارس ساحة القرية
11103	مدير شؤون الحرب
11104	حارس ساحة القرية
11105	مدير شؤون الحرب
11106	حارس ساحة القرية
11107	مدير شؤون الحرب
11108	حارس ساحة القرية
11109	مدير شؤون الحرب
11110	حارس ساحة القرية
11111	مدير شؤون الحرب
11112	حارس ساحة القرية
11113	مدير شؤون الحرب
11114	حارس ساحة القرية
11115	مدير شؤون الحرب
11116	حارس ساحة القرية
11117	مدير شؤون الحرب
11505	ضفدع ذهبي
11506	؛ہب­
11507	؛ہب­
11508	؛ہب­
11509	؛ہب­
11510	؛ہب­
12000	موقد
13000	بوابة خشبية
13001	بوابة حجرية
14000	مشغل
14001	مشغل
14002	مشغل
14003	مشغل
14004	مشغل
14005	مشغل
14006	مشغل
14007	مشغل
14008	مشغل
14009	مشغل
14010	مذبح
14011	مذبح
14012	مذبح
14013	مذبح
14014	مذبح
14015	مذبح
14016	مذبح
14017	مذبح
14018	مذبح
14019	مذبح
14020	مركز قيادة
14021	مركز قيادة
14022	مركز قيادة
14023	مركز قيادة
14024	مركز قيادة
14025	مركز قيادة
14026	مركز قيادة
14027	مركز قيادة
14028	مركز قيادة
14029	مركز قيادة
14030	مخيم التدريب
14031	مخيم التدريب
14032	مخيم التدريب
14033	مخيم التدريب
14034	مخيم التدريب
